model_name,total_params,active_params,input_embedding_params,status
AITeamVN/Vietnamese_Embedding,567754752,311752704,256002048,success
Alibaba-NLP/gme-Qwen2-VL-2B-Instruct,2208985600,1975611904,233373696,success
Alibaba-NLP/gme-Qwen2-VL-7B-Instruct,7746378240,7201380864,544997376,success
Alibaba-NLP/gte-Qwen1.5-7B-instruct,,,,"skipped, too large"
Alibaba-NLP/gte-Qwen2-1.5B-instruct,1543268864,1310340608,232928256,success
Alibaba-NLP/gte-Qwen2-7B-instruct,7069121024,6525621760,543499264,success
Alibaba-NLP/gte-base-en-v1.5,136776192,113330688,23445504,success
Alibaba-NLP/gte-modernbert-base,,,,"error: The checkpoint you are trying to load has model type `modernbert` but Transformers does not recognize this architecture. This could be because of an issue with the checkpoint, or because your version of Transformers is out of date."
Alibaba-NLP/gte-multilingual-base,305368320,113331456,192036864,success
ApsaraStackMaaS/EvoQwen2.5-VL-Retriever-3B-v1,,,,"error: The checkpoint you are trying to load has model type `qwen2_5_vl` but Transformers does not recognize this architecture. This could be because of an issue with the checkpoint, or because your version of Transformers is out of date."
ApsaraStackMaaS/EvoQwen2.5-VL-Retriever-7B-v1,,,,"error: The checkpoint you are trying to load has model type `qwen2_5_vl` but Transformers does not recognize this architecture. This could be because of an issue with the checkpoint, or because your version of Transformers is out of date."
BAAI/bge-base-en,109482240,86041344,23440896,success
BAAI/bge-base-en-v1.5,109482240,86041344,23440896,success
BAAI/bge-base-zh,102267648,86041344,16226304,success
BAAI/bge-base-zh-v1.5,102267648,86041344,16226304,success
BAAI/bge-en-icl,7110672384,6979588096,131084288,success
BAAI/bge-large-en,335141888,303887360,31254528,success
BAAI/bge-large-en-v1.5,335141888,303887360,31254528,success
BAAI/bge-large-zh,325522432,303887360,21635072,success
BAAI/bge-large-zh-v1.5,325522432,303887360,21635072,success
BAAI/bge-m3,567754752,311752704,256002048,success
BAAI/bge-m3-unsupervised,567754752,311752704,256002048,success
BAAI/bge-multilingual-gemma2,9241713152,8324201984,917511168,success
BAAI/bge-reranker-v2-m3,567754752,311752704,256002048,success
BAAI/bge-small-en,33360000,21639552,11720448,success
BAAI/bge-small-en-v1.5,33360000,21639552,11720448,success
BAAI/bge-small-zh,23953920,13136384,10817536,success
BAAI/bge-small-zh-v1.5,23953920,13136384,10817536,success
BAAI/bge-visualized-base,,,,"error: BAAI/bge-visualized-base is not a local folder and is not a valid model identifier listed on 'https://huggingface.co/models'
If this is a private repository, make sure to pass a token having permission to this repo either by logging in with `huggingface-cli login` or by passing `token=<your_token>`"
BAAI/bge-visualized-m3,,,,"error: BAAI/bge-visualized-m3 is not a local folder and is not a valid model identifier listed on 'https://huggingface.co/models'
If this is a private repository, make sure to pass a token having permission to this repo either by logging in with `huggingface-cli login` or by passing `token=<your_token>`"
BMRetriever/BMRetriever-1B,908759040,805736448,103022592,success
BMRetriever/BMRetriever-2B,2506172416,1981884416,524288000,success
BMRetriever/BMRetriever-410M,353822720,302311424,51511296,success
BMRetriever/BMRetriever-7B,7110660096,6979588096,131072000,success
BeastyZ/e5-R-mistral-7b,7110660096,6979588096,131072000,success
ByteDance-Seed/Seed1.5-Embedding,,,,proprietary
