model_name,status,file
AITeamVN/Vietnamese_Embedding,updated,vi_vn_models.py
Alibaba-NLP/gme-Qwen2-VL-2B-Instruct,updated,gme_v_models.py
Alibaba-NLP/gme-Qwen2-VL-7B-Instruct,updated,gme_v_models.py
Alibaba-NLP/gte-Qwen1.5-7B-instruct,updated,gte_models.py
Alibaba-NLP/gte-Qwen2-1.5B-instruct,updated,gte_models.py
Alibaba-NLP/gte-Qwen2-7B-instruct,updated,gte_models.py
Alibaba-NLP/gte-base-en-v1.5,updated,gte_models.py
Alibaba-NLP/gte-modernbert-base,updated,gte_models.py
Alibaba-NLP/gte-multilingual-base,updated,gte_models.py
ApsaraStackMaaS/EvoQwen2.5-VL-Retriever-3B-v1,updated,colqwen_models.py
ApsaraStackMaaS/EvoQwen2.5-VL-Retriever-7B-v1,updated,colqwen_models.py
BAAI/bge-base-en,updated,bge_models.py
BAAI/bge-base-en-v1.5,updated,bge_models.py
BAAI/bge-base-zh,updated,bge_models.py
BAAI/bge-base-zh-v1.5,updated,bge_models.py
BAAI/bge-en-icl,updated,bge_models.py
BAAI/bge-large-en,updated,bge_models.py
BAAI/bge-large-en-v1.5,updated,bge_models.py
BAAI/bge-large-zh,updated,bge_models.py
BAAI/bge-large-zh-v1.5,updated,bge_models.py
BAAI/bge-m3,updated,bge_models.py
BAAI/bge-m3-unsupervised,updated,bge_models.py
BAAI/bge-multilingual-gemma2,updated,bge_models.py
BAAI/bge-reranker-v2-m3,updated,rerankers_custom.py
BAAI/bge-small-en,updated,bge_models.py
BAAI/bge-small-en-v1.5,updated,bge_models.py
BAAI/bge-small-zh,updated,bge_models.py
BAAI/bge-small-zh-v1.5,updated,bge_models.py
BAAI/bge-visualized-base,updated,vista_models.py
BAAI/bge-visualized-m3,updated,vista_models.py
BMRetriever/BMRetriever-1B,updated,bmretriever_models.py
BMRetriever/BMRetriever-2B,updated,bmretriever_models.py
BMRetriever/BMRetriever-410M,updated,bmretriever_models.py
