task,split,hf_subset,GritLM/GritLM-7B(13f00a0e36500c80ce12870ea513846a066004af),intfloat/multilingual-e5-base(d13f1b27baf31030b7fd040960d60d909913633f),intfloat/multilingual-e5-large(4dc6d853a804b9c8886ede6dda8a073b7dc08a81),intfloat/multilingual-e5-large-instruct(baa7be480a7de1539afce709c8f13f833a510e0a),intfloat/multilingual-e5-small(e4ce9877abf3edfe10b0d82785e83bdcb973e22e),sentence-transformers/LaBSE(e34fab64a3011d2176c99545a93d5cbddc9a91b7),sentence-transformers/all-MiniLM-L12-v2(a05860a77cef7b37e0048a7864658139bc18a854),sentence-transformers/all-MiniLM-L12-v2(no_revision_available),sentence-transformers/all-MiniLM-L6-v2(8b3219a92973c328a8e22fadcfa821b5dc75636a),sentence-transformers/all-mpnet-base-v2(84f2bcc00d77236f9e89c8a360a00fb1139bf47d),sentence-transformers/all-mpnet-base-v2(no_revision_available),sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2(bf3bf13ab40c3157080a7ab344c831b9ad18b5eb),sentence-transformers/paraphrase-multilingual-mpnet-base-v2(79f2382ceacceacdf38563d7c5d16b9ff8d725d6)
AJGT,train,default,77.4,77.8,80.3,85.1,75.0,74.8,57.1,,57.9,57.4,,69.9,77.0
AfriSentiClassification,test,amh,33.8,43.4,43.3,43.9,38.8,42.1,28.6,,25.9,27.1,,25.7,50.6
AfriSentiClassification,test,arq,46.1,45.5,45.5,48.8,43.7,43.9,37.1,,40.7,36.0,,38.2,44.7
AfriSentiClassification,test,ary,40.8,39.0,36.7,43.8,38.5,43.0,33.6,,34.1,34.6,,39.3,41.6
AfriSentiClassification,test,hau,60.7,68.2,74.7,66.0,69.0,65.9,49.9,,57.4,49.9,,37.2,50.1
AfriSentiClassification,test,ibo,48.9,41.1,47.3,49.7,41.6,56.5,49.0,,51.6,48.4,,51.4,50.1
AfriSentiClassification,test,kin,44.3,48.8,48.1,49.3,47.3,43.6,36.1,,37.5,37.1,,37.3,38.0
AfriSentiClassification,test,pcm,39.3,40.7,41.5,39.6,41.2,36.3,37.0,,38.2,38.0,,37.2,38.3
AfriSentiClassification,test,por,39.0,40.1,42.3,50.4,40.9,41.6,36.8,,38.1,34.6,,41.2,45.7
AfriSentiClassification,test,swa,38.5,42.6,44.2,43.9,42.7,41.2,35.0,,35.7,36.8,,36.2,39.5
