task,split,hf_subset,GritLM/GritLM-7B(13f00a0e36500c80ce12870ea513846a066004af),intfloat/multilingual-e5-base(d13f1b27baf31030b7fd040960d60d909913633f),intfloat/multilingual-e5-large(4dc6d853a804b9c8886ede6dda8a073b7dc08a81),intfloat/multilingual-e5-large-instruct(baa7be480a7de1539afce709c8f13f833a510e0a),intfloat/multilingual-e5-small(e4ce9877abf3edfe10b0d82785e83bdcb973e22e),sentence-transformers/LaBSE(e34fab64a3011d2176c99545a93d5cbddc9a91b7),sentence-transformers/all-MiniLM-L12-v2(no_revision_available),sentence-transformers/all-mpnet-base-v2(84f2bcc00d77236f9e89c8a360a00fb1139bf47d),sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2(bf3bf13ab40c3157080a7ab344c831b9ad18b5eb),sentence-transformers/paraphrase-multilingual-mpnet-base-v2(79f2382ceacceacdf38563d7c5d16b9ff8d725d6)
BrazilianToxicTweetsClassification,test,default,18.8,19.8,21.2,17.1,18.8,20.8,19.3,18.4,20.1,22.3
CEDRClassification,test,default,41.8,42.3,44.8,48.4,40.1,40.6,33.9,36.0,37.8,40.0
KorHateSpeechMLClassification,test,default,9.7,8.9,10.5,11.3,8.7,6.6,4.6,5.3,5.5,5.9
MalteseNewsClassification,test,default,29.0,,25.3,25.3,23.7,29.0,13.4,19.7,8.5,10.4
MultiEURLEXMultilabelClassification,test,bg,4.0,,4.1,,4.3,4.1,0.9,1.5,2.6,3.2
MultiEURLEXMultilabelClassification,test,cs,4.2,,4.8,,5.0,4.7,2.8,3.2,2.9,3.6
MultiEURLEXMultilabelClassification,test,da,4.0,,3.4,,2.4,2.8,1.2,1.2,2.0,3.0
MultiEURLEXMultilabelClassification,test,de,4.6,,5.2,,4.7,2.5,1.6,2.0,2.7,3.1
MultiEURLEXMultilabelClassification,test,el,2.7,,4.6,,4.0,2.7,1.0,0.8,2.1,2.3
MultiEURLEXMultilabelClassification,test,en,5.8,,4.3,,5.2,3.6,3.6,4.8,3.0,3.9
MultiEURLEXMultilabelClassification,test,es,4.7,,4.5,,4.2,3.6,2.5,3.9,3.8,3.1
MultiEURLEXMultilabelClassification,test,et,3.4,,4.9,,4.1,3.0,1.3,1.2,3.6,2.9
MultiEURLEXMultilabelClassification,test,fi,4.0,,4.1,,3.9,3.5,1.5,1.2,2.6,3.2
MultiEURLEXMultilabelClassification,test,fr,4.0,,5.0,,3.7,3.1,1.8,3.3,2.7,3.2
MultiEURLEXMultilabelClassification,test,hr,4.7,,4.7,,4.2,3.6,0.7,1.0,3.1,3.9
MultiEURLEXMultilabelClassification,test,hu,4.3,,4.5,,3.6,3.2,1.4,0.9,2.9,3.3
MultiEURLEXMultilabelClassification,test,it,4.2,,3.9,,3.9,3.2,2.2,3.6,3.1,3.1
MultiEURLEXMultilabelClassification,test,lt,5.5,,4.5,,4.2,3.9,1.4,1.4,2.8,4.7
MultiEURLEXMultilabelClassification,test,lv,5.3,,5.0,,4.3,3.6,2.0,2.3,4.3,3.9
MultiEURLEXMultilabelClassification,test,mt,6.2,,6.0,,5.2,4.8,2.0,1.6,1.1,1.3
MultiEURLEXMultilabelClassification,test,nl,5.5,,4.3,,3.6,4.5,1.3,1.5,3.4,3.7
MultiEURLEXMultilabelClassification,test,pl,4.7,,5.8,,4.5,3.7,1.6,1.7,3.1,4.4
MultiEURLEXMultilabelClassification,test,pt,3.7,,3.9,,4.7,3.4,1.9,3.7,3.1,2.6
MultiEURLEXMultilabelClassification,test,ro,4.2,,4.4,,4.2,3.1,2.1,2.9,2.6,3.6
MultiEURLEXMultilabelClassification,test,sk,3.6,,4.6,,5.3,3.6,1.5,1.5,2.9,4.0
MultiEURLEXMultilabelClassification,test,sl,5.1,,5.2,,3.8,3.8,1.7,1.3,3.1,4.1
MultiEURLEXMultilabelClassification,test,sv,4.4,,4.8,,4.7,3.6,1.6,1.6,2.1,3.5
SensitiveTopicsClassification,test,default,28.6,25.0,27.2,30.6,23.9,22.2,,17.8,24.8,25.8
