task,split,hf_subset,GritLM/GritLM-7B(13f00a0e36500c80ce12870ea513846a066004af),intfloat/multilingual-e5-base(d13f1b27baf31030b7fd040960d60d909913633f),intfloat/multilingual-e5-large(4dc6d853a804b9c8886ede6dda8a073b7dc08a81),intfloat/multilingual-e5-large-instruct(baa7be480a7de1539afce709c8f13f833a510e0a),intfloat/multilingual-e5-small(e4ce9877abf3edfe10b0d82785e83bdcb973e22e),sentence-transformers/LaBSE(e34fab64a3011d2176c99545a93d5cbddc9a91b7),sentence-transformers/all-MiniLM-L12-v2(no_revision_available),sentence-transformers/all-MiniLM-L6-v2(8b3219a92973c328a8e22fadcfa821b5dc75636a),sentence-transformers/all-mpnet-base-v2(no_revision_available),sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2(bf3bf13ab40c3157080a7ab344c831b9ad18b5eb),sentence-transformers/paraphrase-multilingual-mpnet-base-v2(79f2382ceacceacdf38563d7c5d16b9ff8d725d6)
AFQMC,validation,default,32.7,29.7,33.0,38.6,25.2,21.0,7.9,8.6,8.0,14.3,15.7
ATEC,test,default,37.3,37.0,39.8,43.5,35.1,26.6,13.0,13.5,14.0,18.4,20.3
ATEC,validation,default,37.2,37.0,39.8,43.8,34.6,25.8,11.6,12.2,12.7,18.0,20.5
Assin2STS,test,default,78.8,70.5,77.7,80.2,73.3,64.8,56.8,56.4,56.3,71.5,74.4
BIOSSES,test,default,85.0,85.1,82.5,85.6,82.5,78.7,83.6,81.6,80.4,74.2,76.3
BQ,test,default,38.0,45.4,46.4,51.0,43.3,42.6,23.3,23.8,21.4,38.5,36.3
BQ,validation,default,42.4,49.9,50.6,54.6,47.8,46.8,24.0,24.6,24.1,42.7,40.6
CDSC-R,test,default,92.2,90.1,91.0,92.0,90.3,85.5,82.5,79.4,77.0,89.0,88.8
FaroeseSTS,train,default,66.9,66.3,72.4,80.2,68.8,55.2,66.1,58.2,61.8,47.3,53.3
FinParaSTS,test,default,20.5,23.4,28.0,29.4,16.0,26.2,10.7,10.1,9.8,23.7,25.5
FinParaSTS,validation,default,22.6,22.0,25.3,29.1,19.2,23.5,10.7,10.6,9.3,22.7,25.5
GermanSTSBenchmark,test,default,76.0,78.9,83.6,83.9,78.4,71.9,62.9,60.6,61.3,79.1,83.4
GermanSTSBenchmark,validation,default,79.3,83.8,86.9,84.8,84.2,74.8,70.3,67.3,68.0,82.3,85.4
IndicCrosslingualSTS,test,en-as,17.5,32.1,39.7,57.3,34.4,38.7,-17.5,-18.9,-1.7,-6.0,23.5
IndicCrosslingualSTS,test,en-bn,32.9,44.6,42.4,54.5,41.3,58.3,-6.4,-15.4,-12.2,19.8,35.5
IndicCrosslingualSTS,test,en-gu,23.5,43.6,47.7,57.3,40.7,65.5,2.9,5.3,0.5,30.0,42.3
IndicCrosslingualSTS,test,en-hi,36.7,58.8,60.6,68.9,60.0,68.7,-8.4,-8.1,-8.3,53.8,59.0
IndicCrosslingualSTS,test,en-kn,19.2,51.6,53.6,68.8,50.0,65.0,-3.3,-6.4,-4.8,10.7,35.6
