model_name,status,citation
Snowflake/snowflake-arctic-embed-l,already_present,"@article{merrick2024embedding,
      title={Embedding And Clustering Your Data Can Improve Contrasti..."
Snowflake/snowflake-arctic-embed-l-v2.0,already_present,"@article{yu2024arctic,
      title={Arctic-Embed 2.0: Multilingual Retrieval Without Compromise},
  ..."
Snowflake/snowflake-arctic-embed-m,already_present,"@article{merrick2024embedding,
      title={Embedding And Clustering Your Data Can Improve Contrasti..."
Snowflake/snowflake-arctic-embed-m-long,already_present,"@article{merrick2024embedding,
      title={Embedding And Clustering Your Data Can Improve Contrasti..."
Snowflake/snowflake-arctic-embed-m-v1.5,already_present,"@article{merrick2024embedding,
      title={Embedding And Clustering Your Data Can Improve Contrasti..."
Snowflake/snowflake-arctic-embed-m-v2.0,already_present,"@article{yu2024arctic,
      title={Arctic-Embed 2.0: Multilingual Retrieval Without Compromise},
  ..."
Snowflake/snowflake-arctic-embed-s,already_present,"@article{merrick2024embedding,
      title={Embedding And Clustering Your Data Can Improve Contrasti..."
Snowflake/snowflake-arctic-embed-xs,already_present,"@article{merrick2024embedding,
      title={Embedding And Clustering Your Data Can Improve Contrasti..."
bm25s,already_present,"@misc{bm25s,
      title={BM25S: Orders of magnitude faster lexical search via eager sparse scoring}..."
Omartificial-Intelligence-Space/Arabic-Triplet-Matryoshka-V2,already_present,"
    @article{nacar2025gate,
    title={GATE: General Arabic Text Embedding for Enhanced Semantic Te..."
Kingsoft-LLM/QZhou-Embedding,already_present,"@misc{yu2025qzhouembeddingtechnicalreport,
      title={QZhou-Embedding Technical Report},
      aut..."
Kingsoft-LLM/QZhou-Embedding-Zh,already_present,"@misc{yu2025qzhouembeddingtechnicalreport,
      title={QZhou-Embedding Technical Report},
      aut..."
samaya-ai/promptriever-llama2-7b-v1,already_present,"
@article{weller2024promptriever,
      title={Promptriever: Instruction-Trained Retrievers Can Be P..."
samaya-ai/promptriever-llama3.1-8b-v1,already_present,"
@article{weller2024promptriever,
      title={Promptriever: Instruction-Trained Retrievers Can Be P..."
samaya-ai/promptriever-llama3.1-8b-instruct-v1,already_present,"
@article{weller2024promptriever,
      title={Promptriever: Instruction-Trained Retrievers Can Be P..."
samaya-ai/promptriever-mistral-v0.1-7b-v1,already_present,"
@article{weller2024promptriever,
      title={Promptriever: Instruction-Trained Retrievers Can Be P..."
sbintuitions/sarashina-embedding-v1-1b,already_present,
sbintuitions/sarashina-embedding-v2-1b,already_present,
vidore/colpali-v1.1,already_present,"
@misc{faysse2024colpali,
  title={ColPali: Efficient Document Retrieval with Vision Language Models..."
