,Name,Type,Languages,Domains,License,Description
0,BornholmBitextMining,BitextMining,{'dan'},"['Web', 'Social', 'Fiction', 'Written']",CC-BY-4.0,"Danish Bornholmsk Parallel Corpus. Bornholmsk is a Danish dialect spoken on the island of Bornholm, Denmark. Historically it is a part of east Danish which was also spoken in Scania and Halland, Sweden."
1,BibleNLPBitextMining,BitextMining,"{'aoj', 'ncl', 'imo', 'acu', 'eko', 'urb', 'bvd', 'cab', 'bsp', 'mam', 'amf', 'ikk', 'mqj', 'esk', 'tur', 'cpb', 'azb', 'myy', 'nld', 'mcr', 'tgk', 'cbu', 'rwo', 'wmw', 'xbi', 'mdy', 'sri', 'ziw', 'zpu', 'xtm', 'mlp', 'yad', 'cuk', 'tpt', 'shj', 'bch', 'msk', 'taj', 'lat', 'awk', 'azz', 'san', 'mca', 'kpx', 'pes', 'kqw', 'kpg', 'cek', 'cop', 'cnl', 'zai', 'agt', 'kaq', 'cjo', 'dan', 'enq', 'gnw', 'luo', 'kqc', 'kgk', 'tbz', 'mig', 'snc', 'acr', 'kpr', 'mwf', 'nhe', 'beo', 'mxt', 'rmy', 'wal', 'otn', 'sps', 'tcz', 'aak', 'bgs', 'kan', 'zsr', 'bmr', 'gun', 'kpw', 'amm', 'gmv', 'wos', 'cao', 'mkn', 'mek', 'aey', 'nhu', 'mcd', 'mgh', 'kiw', 'lgl', 'ycn', 'nna', 'apz', 'ndg', 'xon', 'ptu', 'glk', 'cmn', 'mwp', 'sab', 'qvw', 'chz', 'far', 'msy', 'ots', 'agr', 'apw', 'ebk', 'agu', 'ind', 'amx', 'jid', 'mhl', 'myk', 'pio', 'tnn', 'yaa', 'kto', 'cap', 'msc', 'ron', 'mkj', 'tam', 'naf', 'tuf', 'ppo', 'zpo', 'bao', 'meu', 'ubr', 'amn', 'zos', 'mzz', 'hin', 'wim', 'bhl', 'npi', 'bpr', 'quf', 'hmo', 'mle', 'tca', 'bjz', 'tof', 'maj', 'tod', 'uvh', 'yut', 'pol', 'zav', 'piu', 'opm', 'csy', 'ken', 'tee', 'mie', 'snn', 'pad', 'cbv', 'mya', 'xsi', 'faa', 'rgu', 'gwi', 'lin', 'reg', 'vid', 'chd', 'mto', 'nca', 'agm', 'soy', 'knf', 'kwd', 'tew', 'maq', 'cco', 'blz', 'swe', 'med', 'tbf', 'taw', 'avt', 'urt', 'ben', 'iou', 'poy', 'pjt', 'are', 'kup', 'amr', 'met', 'spm', 'tbg', 'tfr', 'hus', 'txu', 'cbs', 'buk', 'ncu', 'zpz', 'poe', 'sll', 'atd', 'hla', 'row', 'mxp', 'zpm', 'awb', 'shp', 'nsn', 'mop', 'mcb', 'mal', 'mpj', 'bus', 'hat', 'bre', 'kyf', 'qup', 'kmu', 'jac', 'jic', 'kjs', 'dgr', 'pls', 'ood', 'myw', 'rop', 'hau', 'knj', 'cha', 'ino', 'mbh', 'poi', 'tue', 'epo', 'ake', 'clu', 'mbs', 'bbb', 'zga', 'llg', 'usp', 'cbi', 'ilo', 'mir', 'gvs', 'hns', 'mib', 'agd', 'tpz', 'tel', 'mar', 'aii', 'kyq', 'dgz', 'mjc', 'cle', 'acf', 'gfk', 'ksr', 'trc', 'aia', 'atb', 'lif', 'top', 'gym', 'ngu', 'toc', 'mcp', 'hui', 'agg', 'tav', 'yon', 'awx', 'pab', 'kos', 'byr', 'hix', 'ewe', 'srq', 'nab', 'msm', 'sey', 'mpp', 'ctp', 'nko', 'sja', 'ffm', 'mph', 'ory', 'srp', 'kde', 'ktm', 'wiu', 'mgw', 'mpm', 'kze', 'haw', 'qvz', 'mvn', 'noa', 'zaj', 'mih', 'dik', 'sbs', 'ura', 'gul', 'obo', 'dji', 'ssd', 'tke', 'aon', 'mpt', 'uvl', 'nif', 'jae', 'mks', 'qul', 'xed', 'ame', 'aer', 'usa', 'zlm', 'djk', 'apn', 'pma', 'tiy', 'zpv', 'bzj', 'sxb', 'not', 'srn', 'grc', 'anv', 'guj', 'mit', 'kmg', 'pon', 'seh', 'gyr', 'kqf', 'apu', 'kvn', 'pao', 'mxq', 'adz', 'ong', 'kbh', 'bqc', 'dad', 'ipi', 'gum', 'spy', 'yva', 'wrs', 'rmc', 'snp', 'ese', 'tsw', 'zas', 'zpl', 'heb', 'tuo', 'bvr', 'upv', 'emi', 'yka', 'cux', 'crx', 'als', 'tet', 'mmx', 'alp', 'dop', 'geb', 'deu', 'waj', 'xtd', 'gam', 'kyc', 'ptp', 'ces', 'hbo', 'hub', 'mbt', 'pwg', 'toj', 'dww', 'zty', 'hrv', 'nii', 'tim', 'msb', 'kdc', 'zao', 'blw', 'qvn', 'kbq', 'tos', 'chq', 'gvn', 'tpa', 'myu', 'kmk', 'nhr', 'omw', 'kud', 'kmo', 'cbr', 'kkl', 'wed', 'otq', 'sim', 'caa', 'jao', 'uig', 'ssx', 'nnq', 'ghs', 'lbk', 'bps', 'tzj', 'aaz', 'bmk', 'kyz', 'tmd', 'ntu', 'bjk', 'tvk', 'dgc', 'cof', 'ulk', 'bzd', 'quc', 'abx', 'amo', 'nhg', 'sua', 'swp', 'vie', 'tif', 'nfa', 'tgo', 'dah', 'boa', 'apr', 'sus', 'zpc', 'cac', 'nwi', 'pri', 'otm', 'qwh', 'bba', 'aka', 'cbc', 'mav', 'cak', 'gdn', 'yre', 'wol', 'aau', 'snx', 'sgb', 'gnn', 'hun', 'wnc', 'meq', 'npl', 'kyg', 'bdd', 'inb', 'nuy', 'wat', 'gvc', 'tnc', 'mqb', 'chk', 'wuv', 'amk', 'isn', 'xav', 'bss', 'qvm', 'yaq', 'wap', 'yal', 'bjp', 'kue', 'abt', 'bea', 'qxn', 'ctu', 'bki', 'yrb', 'fai', 'sbk', 'guh', 'fuh', 'maz', 'apb', 'gdr', 'kwj', 'mgc', 'zam', 'bqp', 'ngp', 'rro', 'beu', 'bsn', 'lbb', 'kdl', 'lac', 'srm', 'ded', 'hch', 'cbt', 'sny', 'mcf', 'mio', 'auc', 'cpy', 'aai', 'cpu', 'zab', 'ntp', 'agn', 'qvh', 'arb', 'eri', 'cso', 'kbc', 'amp', 'ndj', 'bmh', 'ata', 'guo', 'hot', 'mna', 'cot', 'ter', 'too', 'prf', 'wbi', 'bkx', 'yuw', 'bzh', 'cme', 'zar', 'kgf', 'mil', 'bbr', 'smk', 'big', 'jiv', 'wiv', 'wro', 'urd', 'dwr', 'kmh', 'kqa', 'kkc', 'nch', 'ukr', 'zap', 'bon', 'gux', 'ian', 'ceb', 'kpf', 'bsj', 'nou', 'aom', 'caf', 'knv', 'lww', 'aly', 'miz', 'zca', 'cya', 'bkq', 'cnt', 'kms', 'nss', 'nhw', 'cuc', 'ape', 'klv', 'plu', 'cax', 'gai', 'bnp', 'box', 'spl', 'pan', 'spp', 'mbc', 'khs', 'wrk', 'tdt', 'cpc', 'lex', 'nhi', 'tuc', 'cth', 'pib', 'amu', 'azg', 'ztq', 'yor', 'arl', 'tnk', 'ckb', 'ncj', 'leu', 'kje', 'bco', 'vmy', 'cgc', 'yle', 'soq', 'uli', 'cta', 'muy', 'arp', 'ita', 'tac', 'kek', 'nhy', 'hop', 'con', 'udu', 'nlg', 'dov', 'mic', 'bmu', 'ubu', 'swh', 'cwe', 'kew', 'auy', 'bel', 'crn', 'nbq', 'sbe', 'yuj', 'hvn', 'jni', 'zia', 'ksj', 'gup', 'klt', 'huv', 'tgl', 'dhg', 'jvn', 'mwe', 'zad', 'kiz', 'rkb', 'mox', 'mwc', 'quh', 'cav', 'uri', 'tbo', 'eng', 'wnu', 'mbb', 'ton', 'tte', 'poh', 'mmo', 'tiw', 'iws', 'tcs', 'ikw', 'rus', 'pir', 'mxb', 'zaa', 'etr', 'aby', 'rai', 'byx', 'zac', 'gaw', 'yss', 'khz', 'mti', 'lid', 'rug', 'fra', 'aso', 'emp', 'dwy', 'stp', 'tlf', 'mva', 'tpi', 'yby', 'ote', 'bef', 'sgz', 'tnp', 'nin', 'cjv', 'ixl', 'mbl', 'tbc', 'ntj', 'daa', 'zat', 'zyp', 'urw', 'lcm', 'gui', 'heg', 'hto', 'qvc', 'wmt', 'gvf', 'mlh', 'huu', 'kwf', 'suz', 'lug', 'chf', 'gub', 'nas', 'cut', 'mau', 'aoi', 'hlt', 'twi', 'mux', 'anh', 'ttc', 'kql', 'cub', 'mcq', 'ruf', 'car', 'viv', 'nvm', 'wbp', 'for', 'bjr', 'nyu', 'qxo', 'yap', 'djr', 'yml', 'asm', 'kvg', 'wsk', 'cbk', 'arn', 'dif', 'tna', 'nho', 'ons', 'alq', 'fue', 'sue', 'mkl', 'dob', 'fuf', 'qvs', 'por', 'tgp', 'bkd', 'kik', 'nak', 'okv', 'bgt', 'mee', 'mps', 'bhg', 'mco', 'roo', 'zaw', 'zpq', 'txq', 'att', 'kbm', 'pah', 'lit', 'nop', 'spa', 'ssg', 'xnn', 'tzo', 'boj', 'aui', 'cni', 'wer', 'mpx', 'bjv', 'atg', 'maa', 'kgp', 'kpj', 'cpa', 'kne', 'nya', 'qve', 'gah', 'qxh', 'nys', 'ign', 'som', 'kwi', 'jpn', 'cui', 'ksd', 'mbj', 'tha', 'tku', 'gng', 'gof', 'qub', 'xla', 'bxh'}","['Religious', 'Written']",CC-BY-SA-4.0,"Partial Bible translations in 829 languages, aligned by verse."
2,BUCC.v2,BitextMining,"{'deu', 'cmn', 'fra', 'rus', 'eng'}",['Written'],Unknown,BUCC bitext mining dataset
3,DiaBlaBitextMining,BitextMining,"{'fra', 'eng'}","['Social', 'Written']",CC BY-NC-SA 4.0,"English-French Parallel Corpus. DiaBLa is an English-French dataset for the evaluation of Machine Translation (MT) for informal, written bilingual dialogue."
4,FloresBitextMining,BitextMining,"{'kin', 'ita', 'zul', 'sin', 'kbp', 'khk', 'ast', 'ell', 'shn', 'slk', 'lim', 'uig', 'hne', 'bho', 'tzm', 'scn', 'mal', 'mlt', 'fon', 'swh', 'hat', 'ajp', 'azj', 'tur', 'bel', 'uzn', 'azb', 'nld', 'tso', 'szl', 'vie', 'hau', 'tgk', 'bos', 'kaz', 'epo', 'tgl', 'pag', 'srd', 'isl', 'kmb', 'grn', 'ilo', 'ace', 'bod', 'aka', 'tel', 'mar', 'nob', 'quy', 'eng', 'ban', 'wol', 'mkd', 'ssw', 'san', 'kea', 'prs', 'pes', 'ary', 'zho', 'hun', 'rus', 'dan', 'jav', 'umb', 'xho', 'plt', 'luo', 'gaz', 'bem', 'kab', 'fra', 'smo', 'tpi', 'ewe', 'sna', 'mag', 'crh', 'hye', 'gla', 'bug', 'amh', 'kan', 'gle', 'bul', 'ory', 'srp', 'bam', 'bjn', 'kor', 'tum', 'nus', 'lug', 'ydd', 'est', 'twi', 'afr', 'kas', 'pbt', 'fij', 'fuv', 'dik', 'min', 'sat', 'glg', 'yue', 'apc', 'lua', 'ayr', 'tir', 'arz', 'kir', 'fao', 'ind', 'fur', 'ibo', 'kmr', 'pap', 'arb', 'asm', 'lmo', 'ron', 'tsn', 'vec', 'zsm', 'awa', 'tam', 'mri', 'snd', 'sot', 'slv', 'cjk', 'nno', 'dyu', 'guj', 'lvs', 'por', 'hin', 'khm', 'cat', 'kik', 'eus', 'npi', 'aeb', 'nso', 'kat', 'urd', 'tuk', 'ukr', 'taq', 'mni', 'pol', 'run', 'kam', 'cym', 'ceb', 'lit', 'mya', 'knc', 'kon', 'lij', 'spa', 'lin', 'heb', 'oci', 'ars', 'tat', 'sag', 'mos', 'acm', 'ltg', 'acq', 'als', 'pan', 'lus', 'fin', 'bak', 'deu', 'nya', 'swe', 'ces', 'som', 'jpn', 'ltz', 'ben', 'hrv', 'mai', 'kac', 'yor', 'tha', 'ckb', 'dzo', 'war', 'lao', 'sun'}","['Non-fiction', 'Encyclopaedic', 'Written']",CC BY-SA 4.0,FLORES is a benchmark dataset for machine translation between English and low-resource languages.
5,IN22GenBitextMining,BitextMining,"{'san', 'kas', 'mni', 'sat', 'mal', 'brx', 'pan', 'asm', 'tam', 'snd', 'kan', 'mai', 'ben', 'ory', 'guj', 'doi', 'hin', 'tel', 'mar', 'gom', 'eng', 'npi', 'urd'}","['Web', 'Legal', 'Government', 'News', 'Religious', 'Non-fiction', 'Written']",CC-BY-4.0,IN22-Gen is a n-way parallel general-purpose multi-domain benchmark dataset for machine translation spanning English and 22 Indic languages.
6,IndicGenBenchFloresBitextMining,BitextMining,"{'san', 'mup', 'mni', 'sat', 'bgc', 'hne', 'bho', 'nep', 'mal', 'pan', 'asm', 'awa', 'tam', 'boy', 'kan', 'raj', 'mwr', 'mai', 'ben', 'pus', 'ory', 'guj', 'urd', 'bod', 'hin', 'tel', 'mar', 'gom', 'eng', 'gbm'}","['Web', 'News', 'Written']",CC-BY-SA-4.0,Flores-IN dataset is an extension of Flores dataset released as a part of the IndicGenBench by Google
7,NollySentiBitextMining,BitextMining,"{'yor', 'pcm', 'hau', 'ibo', 'eng'}","['Social', 'Reviews', 'Written']",CC BY-SA 4.0,"NollySenti is Nollywood movie reviews for five languages widely spoken in Nigeria (English, Hausa, Igbo, Nigerian-Pidgin, and Yoruba."
8,NorwegianCourtsBitextMining,BitextMining,"{'nob', 'nno'}","['Legal', 'Written']",CC BY 4.0,"Nynorsk and Bokmål parallel corpus from Norwegian courts. Norwegian courts have two standardised written languages. Bokmål is a variant closer to Danish, while Nynorsk was created to resemble regional dialects of Norwegian."
9,NTREXBitextMining,BitextMining,"{'kin', 'ita', 'zul', 'sin', 'swa', 'ell', 'slk', 'uig', 'mal', 'mlt', 'tur', 'bel', 'nld', 'lav', 'vie', 'hau', 'fuc', 'tgk', 'bos', 'kaz', 'isl', 'div', 'bod', 'tel', 'mar', 'nob', 'eng', 'ton', 'wol', 'mkd', 'ssw', 'tah', 'prs', 'zho', 'hun', 'rus', 'dan', 'xho', 'nep', 'bem', 'sqi', 'fra', 'smo', 'hmn', 'ewe', 'sna', 'hye', 'amh', 'kan', 'gle', 'bul', 'pus', 'srp', 'kor', 'afr', 'fij', 'glg', 'yue', 'tir', 'kir', 'fao', 'ind', 'ibo', 'kmr', 'arb', 'ron', 'fil', 'orm', 'tsn', 'tam', 'mri', 'snd', 'slv', 'nno', 'guj', 'por', 'hin', 'khm', 'cat', 'eus', 'nso', 'kat', 'urd', 'tuk', 'ukr', 'pol', 'cym', 'lit', 'mya', 'spa', 'mey', 'heb', 'tat', 'mlg', 'pan', 'fin', 'bak', 'deu', 'nya', 'shi', 'swe', 'ces', 'som', 'jpn', 'aze', 'ltz', 'ben', 'hrv', 'mon', 'yor', 'tha', 'ckb', 'fas', 'dzo', 'ven', 'uzb', 'msa', 'nde', 'lao'}","['News', 'Written']",CC-BY-SA-4.0,"NTREX is a News Test References dataset for Machine Translation Evaluation, covering translation from English into 128 languages. We select language pairs according to the M2M-100 language grouping strategy, resulting in 1916 directions."
