,Name,Type,Languages,Domains,License,Description
0,BornholmBitextMining,BitextMining,{'dan'},"['Web', 'Social', 'Fiction', 'Written']",CC-BY-4.0,"Danish Bornholmsk Parallel Corpus. Bornholmsk is a Danish dialect spoken on the island of Bornholm, Denmark. Historically it is a part of east Danish which was also spoken in Scania and Halland, Sweden."
1,BibleNLPBitextMining,BitextMining,"{'ces', 'ita', 'lit', 'spa', 'swe', 'dan', 'fra', 'eng', 'hrv', 'pol', 'nld', 'hun', 'por', 'ron', 'deu'}","['Religious', 'Written']",CC-BY-SA-4.0,"Partial Bible translations in 829 languages, aligned by verse."
2,BUCC.v2,BitextMining,"{'fra', 'eng', 'deu'}",['Written'],Unknown,BUCC bitext mining dataset
3,FloresBitextMining,BitextMining,"{'ell', 'dan', 'fin', 'nob', 'nld', 'ita', 'spa', 'swe', 'fra', 'slv', 'est', 'eng', 'bul', 'hrv', 'pol', 'slk', 'nno', 'por', 'deu', 'ces', 'mlt', 'ron', 'gle', 'isl', 'lit', 'hun', 'eus'}","['Non-fiction', 'Encyclopaedic', 'Written']",CC BY-SA 4.0,FLORES is a benchmark dataset for machine translation between English and low-resource languages.
4,IWSLT2017BitextMining,BitextMining,"{'ita', 'fra', 'eng', 'nld', 'ron', 'deu'}","['Non-fiction', 'Fiction', 'Written']",CC-BY-NC-ND-4.0,"The IWSLT 2017 Multilingual Task addresses text translation, including zero-shot translation, with a single MT system across all directions including English, German, Dutch, Italian and Romanian."
5,NorwegianCourtsBitextMining,BitextMining,"{'nno', 'nob'}","['Legal', 'Written']",CC BY 4.0,"Nynorsk and Bokmål parallel corpus from Norwegian courts. Norwegian courts have two standardised written languages. Bokmål is a variant closer to Danish, while Nynorsk was created to resemble regional dialects of Norwegian."
6,NTREXBitextMining,BitextMining,"{'ell', 'dan', 'fin', 'nob', 'nld', 'ita', 'spa', 'swe', 'fra', 'slv', 'eng', 'bul', 'hrv', 'pol', 'slk', 'nno', 'por', 'deu', 'ces', 'mlt', 'ron', 'gle', 'isl', 'lit', 'lav', 'hun', 'eus'}","['News', 'Written']",CC-BY-SA-4.0,"NTREX is a News Test References dataset for Machine Translation Evaluation, covering translation from English into 128 languages. We select language pairs according to the M2M-100 language grouping strategy, resulting in 1916 directions."
7,Tatoeba,BitextMining,"{'ell', 'dan', 'fin', 'nob', 'nld', 'ita', 'spa', 'swe', 'fra', 'slv', 'est', 'eng', 'bul', 'hrv', 'pol', 'slk', 'nno', 'por', 'deu', 'ces', 'ron', 'gle', 'isl', 'lit', 'hun', 'eus'}",['Written'],CC BY 2.0,"1,000 English-aligned sentence pairs for each language based on the Tatoeba corpus"
8,SRNCorpusBitextMining,BitextMining,{'nld'},"['Social', 'Web', 'Written']",CC-BY-SA-4.0,SRNCorpus is a machine translation corpus for creole language Sranantongo and Dutch.
9,VieMedEVBitextMining,BitextMining,{'eng'},"['Medical', 'Written']",cc-by-nc,A high-quality Vietnamese-English parallel data from the medical domain for machine translation
10,BulgarianStoreReviewSentimentClassfication,Classification,{'bul'},"['Reviews', 'Written']",cc-by-4.0,Bulgarian online store review dataset for sentiment classification.
11,CzechProductReviewSentimentClassification,Classification,{'ces'},"['Reviews', 'Written']",CC BY-NC-SA 4.0,"User reviews of products on Czech e-shop Mall.cz with 3 sentiment classes (positive, neutral, negative)"
12,GreekLegalCodeClassification,Classification,{'ell'},"['Legal', 'Written']",cc-by-4.0,Greek Legal Code Dataset for Classification. (subset = chapter)
13,DBpediaClassification,Classification,{'eng'},"['Encyclopaedic', 'Written']",cc-by-sa-3.0,"DBpedia14 is a dataset of English texts from Wikipedia articles, categorized into 14 non-overlapping classes based on their DBpedia ontology."
14,FinancialPhrasebankClassification,Classification,{'eng'},"['News', 'Written']",cc-by-nc-sa-3.0,"Polar sentiment dataset of sentences from financial news, categorized by sentiment into positive, negative, or neutral."
15,PoemSentimentClassification,Classification,{'eng'},"['Reviews', 'Written']",CC-BY-4.0,Poem Sentiment is a sentiment dataset of poem verses from Project Gutenberg.
16,ToxicConversationsClassification,Classification,{'eng'},"['Social', 'Written']",CC BY 4.0,Collection of comments from the Civil Comments platform together with annotations if the comment is toxic or not.
17,EstonianValenceClassification,Classification,{'est'},"['News', 'Written']",CC BY 4.0,Dataset containing annotated Estonian news data from the Postimees and Õhtuleht newspapers.
18,ItaCaseholdClassification,Classification,{'ita'},"['Legal', 'Government', 'Written']",Apache 2.0,An Italian Dataset consisting of 1101 pairs of judgments and their official holdings between the years 2019 and 2022 from the archives of Italian Administrative Justice categorized with 64 subjects.
19,AmazonCounterfactualClassification,Classification,"{'eng', 'deu'}","['Reviews', 'Written']",CC BY 4.0,A collection of Amazon customer reviews annotated for counterfactual detection pair classification.
20,AmazonReviewsClassification,Classification,"{'fra', 'eng', 'spa', 'deu'}","['Reviews', 'Written']",https://docs.opendata.aws/amazon-reviews-ml/license.txt,A collection of Amazon reviews specifically designed to aid research in multilingual text classification.
